index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
222,74,0.505868619,12.78,23.89,23.89,30.282,3,20.7675,3.425,0.148590533
223,75,0.505868619,12.78,23.89,23.89,31.671,3,9.23,1.575,0.156841698
224,75,0.505868619,12.78,23.89,23.89,31.671,3,6.9225,3.425,0.157911995
225,75,0.505868619,12.78,23.89,23.89,31.671,3,20.7675,3.425,0.163270428
226,76,0.505868619,12.78,25.97,25.97,28.754,3,9.23,1.575,0.16600276
227,76,0.505868619,12.78,25.97,25.97,28.754,3,6.9225,3.425,0.151082256
228,76,0.505868619,12.78,25.97,25.97,28.754,3,20.7675,3.425,0.151970242
229,77,0.505868619,12.78,25.97,25.97,30.282,3,9.23,1.575,0.171585947
230,77,0.505868619,12.78,25.97,25.97,30.282,3,6.9225,3.425,0.140753002
231,77,0.505868619,12.78,25.97,25.97,30.282,3,20.7675,3.425,0.16606397
232,78,0.505868619,12.78,25.97,25.97,31.671,3,9.23,1.575,0.178581823
233,78,0.505868619,12.78,25.97,25.97,31.671,3,6.9225,3.425,0.144055775
234,78,0.505868619,12.78,25.97,25.97,31.671,3,20.7675,3.425,0.171766221
235,79,0.505868619,12.78,28.06,28.06,28.754,3,9.23,1.575,0.172748795
236,79,0.505868619,12.78,28.06,28.06,28.754,3,6.9225,3.425,0.13763688
237,79,0.505868619,12.78,28.06,28.06,28.754,3,20.7675,3.425,0.164088341
238,80,0.505868619,12.78,28.06,28.06,30.282,3,9.23,1.575,0.17205191
239,80,0.505868619,12.78,28.06,28.06,30.282,3,6.9225,3.425,0.12982601
240,80,0.505868619,12.78,28.06,28.06,30.282,3,20.7675,3.425,0.170331913
241,81,0.505868619,12.78,28.06,28.06,31.671,3,9.23,1.575,0.173894386
242,81,0.505868619,12.78,28.06,28.06,31.671,3,6.9225,3.425,0.121467112
243,81,0.505868619,12.78,28.06,28.06,31.671,3,20.7675,3.425,0.167720189
244,82,0.60993302,4.44,23.89,23.89,24.584,3,9.23,1.575,0.203410495
245,82,0.60993302,4.44,23.89,23.89,24.584,3,6.9225,3.425,0.17279612
246,82,0.60993302,4.44,23.89,23.89,24.584,3,20.7675,3.425,0.200440539
247,83,0.60993302,4.44,23.89,23.89,26.112,3,9.23,1.575,0.208465475
248,83,0.60993302,4.44,23.89,23.89,26.112,3,6.9225,3.425,0.159826529
249,83,0.60993302,4.44,23.89,23.89,26.112,3,20.7675,3.425,0.216480622
250,84,0.60993302,4.44,23.89,23.89,27.501,3,9.23,1.575,0.199424087
251,84,0.60993302,4.44,23.89,23.89,27.501,3,6.9225,3.425,0.144700792
252,84,0.60993302,4.44,23.89,23.89,27.501,3,20.7675,3.425,0.205464956
