index,sim,tem,mass,n,occ,x,y,V
450,151,18,19,22,3,7.185,5.8,0.074441069
451,151,18,19,22,3,10.185,3.8,0.087274901
452,151,18,19,22,3,13.175,5.8,0.092793306
453,152,27,2,25,3,7.185,5.8,0.135327207
454,152,27,2,25,3,10.185,3.8,0.11514195
455,152,27,2,25,3,13.175,5.8,0.129950215
456,153,19,11,20,3,7.185,5.8,0.117665111
457,153,19,11,20,3,10.185,3.8,0.101557602
458,153,19,11,20,3,13.175,5.8,0.09785986
459,154,15,14,28,3,7.185,5.8,0.093087225
460,154,15,14,28,3,10.185,3.8,0.093218196
461,154,15,14,28,3,13.175,5.8,0.088649563
462,155,15,26,26,3,7.185,5.8,0.074834985
463,155,15,26,26,3,10.185,3.8,0.07585913
464,155,15,26,26,3,13.175,5.8,0.080092719
465,156,15,27,22,3,7.185,5.8,0.07719136
466,156,15,27,22,3,10.185,3.8,0.07881903
467,156,15,27,22,3,13.175,5.8,0.083241502
468,157,15,16,20,3,7.185,5.8,0.076970852
469,157,15,16,20,3,10.185,3.8,0.091346506
470,157,15,16,20,3,13.175,5.8,0.095639414
471,158,18,3,21,3,7.185,5.8,0.113757275
472,158,18,3,21,3,10.185,3.8,0.112717875
473,158,18,3,21,3,13.175,5.8,0.101261506
474,159,24,7,28,3,7.185,5.8,0.12846691
475,159,24,7,28,3,10.185,3.8,0.110841665
476,159,24,7,28,3,13.175,5.8,0.108140434
477,160,23,4,23,3,7.185,5.8,0.131378378
478,160,23,4,23,3,10.185,3.8,0.10919767
479,160,23,4,23,3,13.175,5.8,0.108393011
480,161,23,8,27,3,7.185,5.8,0.127052831
481,161,23,8,27,3,10.185,3.8,0.093245469
482,161,23,8,27,3,13.175,5.8,0.112322373
483,162,21,27,21,3,7.185,5.8,0.07803158
484,162,21,27,21,3,10.185,3.8,0.077644243
485,162,21,27,21,3,13.175,5.8,0.083227533
486,163,17,10,25,3,7.185,5.8,0.103426238
487,163,17,10,25,3,10.185,3.8,0.099661389
488,163,17,10,25,3,13.175,5.8,0.097129295
489,164,20,17,25,3,7.185,5.8,0.110390065
490,164,20,17,25,3,10.185,3.8,0.093858007
491,164,20,17,25,3,13.175,5.8,0.089650364
492,165,17,10,23,3,7.185,5.8,0.105202093
493,165,17,10,23,3,10.185,3.8,0.101216106
494,165,17,10,23,3,13.175,5.8,0.094410547
495,166,15,12,24,3,7.185,5.8,0.107065954
496,166,15,12,24,3,10.185,3.8,0.096655429
497,166,15,12,24,3,13.175,5.8,0.092805542
498,167,20,31,26,3,7.185,5.8,0.070017102
499,167,20,31,26,3,10.185,3.8,0.067901967
500,167,20,31,26,3,13.175,5.8,0.075017016
501,168,15,9,28,3,7.185,5.8,0.088650132
502,168,15,9,28,3,10.185,3.8,0.105194799
503,168,15,9,28,3,13.175,5.8,0.092405835
504,169,20,11,27,3,7.185,5.8,0.111441027
505,169,20,11,27,3,10.185,3.8,0.101931836
506,169,20,11,27,3,13.175,5.8,0.096744863
507,170,19,3,24,3,7.185,5.8,0.102735881
508,170,19,3,24,3,10.185,3.8,0.113763518
509,170,19,3,24,3,13.175,5.8,0.098035398
